Data,USD-BRL,USD-CLP,USD-EUR
8/7/2020,5.437325,788.803912,0.848526
8/8/2020,5.438274,788.803912,0.848259
8/9/2020,5.438703,788.805789,0.848799
8/10/2020,5.48202,805.99994,0.851975
8/11/2020,5.381894,794.486017,0.852065
8/12/2020,5.436501,792.300796,0.847907
8/13/2020,5.368502,793.502706,0.846295
8/14/2020,5.422278,797.603912,0.84442
8/15/2020,5.422278,797.603912,0.844423
8/16/2020,5.422304,797.608989,0.843803
8/17/2020,5.509801,807.703552,0.842098
8/18/2020,5.466903,794.703759,0.836995
8/19/2020,5.557905,784.385792,0.844352
8/20/2020,5.557397,786.398139,0.84235
8/21/2020,5.620075,793.103912,0.847781
8/22/2020,5.620075,793.103912,0.847817
8/23/2020,5.620102,793.10348,0.847625
8/24/2020,5.612099,785.999807,0.847875
8/25/2020,5.508895,787.099323,0.844975
8/26/2020,5.608703,784.585792,0.8445
8/27/2020,5.570198,784.399135,0.846075
8/28/2020,5.39145,779.503912,0.83998
8/29/2020,5.39145,779.503912,0.839877
8/30/2020,5.391504,779.499124,0.83908
8/31/2020,5.492397,776.341137,0.837615
9/1/2020,5.398801,771.309376,0.838725
9/2/2020,5.3406,771.403799,0.844095
9/3/2020,5.2914,775.803924,0.844635
9/4/2020,5.302504,771.503912,0.844691
9/5/2020,5.302504,771.503912,0.844691
9/6/2020,5.302497,771.501041,0.845025
9/7/2020,5.299801,775.200971,0.845994
9/8/2020,5.362098,773.000168,0.849701
9/9/2020,5.31038,766.602768,0.847105
9/10/2020,5.32206,773.099001,0.845735
9/11/2020,5.317704,769.903912,0.84406
9/12/2020,5.317704,769.903912,0.84406
9/13/2020,5.317698,769.903473,0.844499
9/14/2020,5.2698,765.306597,0.842567
9/15/2020,5.275806,763.292693,0.844305
9/16/2020,5.237498,760.298283,0.847235
9/17/2020,5.239302,761.198972,0.844035
9/18/2020,5.391304,763.303912,0.84457
9/19/2020,5.391304,763.303912,0.844616
9/20/2020,5.3913,763.295489,0.84423
9/21/2020,5.414101,774.498985,0.84987
9/22/2020,5.471398,777.237889,0.854115
9/23/2020,5.593904,783.29766,0.857765
9/24/2020,5.509905,783.297632,0.856685
9/25/2020,5.56135,788.103912,0.85978
9/26/2020,5.56135,788.103912,0.859734
9/27/2020,5.562597,788.098602,0.85948
9/28/2020,5.6617,784.59797,0.85627
9/29/2020,5.63205,784.600812,0.851665
9/30/2020,5.609901,785.097209,0.852899
10/1/2020,5.643498,787.098074,0.851455
10/2/2020,5.683104,789.603912,0.853479
10/3/2020,5.683104,789.603912,0.853457
10/4/2020,5.683103,789.584889,0.853245
10/5/2020,5.57495,798.706766,0.848098
10/6/2020,5.595303,798.708288,0.851985
10/7/2020,5.612795,794.598196,0.849717
10/8/2020,5.600101,798.59516,0.849943
10/9/2020,5.530502,794.703912,0.845359
10/10/2020,5.530502,794.703912,0.845248
10/11/2020,5.530498,794.701579,0.846285
10/12/2020,5.531199,796.999694,0.846399
10/13/2020,5.569895,798.902763,0.851655
10/14/2020,5.59199,798.806766,0.851525
10/15/2020,5.612699,804.102075,0.854205
10/16/2020,5.648385,793.503912,0.853607
10/17/2020,5.648385,793.503912,0.853607
10/18/2020,5.646299,793.502849,0.853595
10/19/2020,5.607097,787.603528,0.849803
10/20/2020,5.605698,785.999645,0.845345
10/21/2020,5.609303,783.000011,0.843703
10/22/2020,5.5928,778.793621,0.846405
10/23/2020,5.619251,775.703912,0.843149
10/24/2020,5.619251,775.703912,0.842993
10/25/2020,5.619251,775.701015,0.844131
10/26/2020,5.624098,775.30203,0.8467
10/27/2020,5.7062,772.999656,0.848745
10/28/2020,5.746398,773.599271,0.851165
10/29/2020,5.779302,772.000137,0.856396
10/30/2020,5.742904,773.303912,0.856504
10/31/2020,5.742904,773.303912,0.856348
11/1/2020,5.742895,773.302706,0.858995
11/2/2020,5.742599,767.701691,0.858965
11/3/2020,5.757197,759.498055,0.850702
11/4/2020,5.664503,754.202544,0.852315
11/5/2020,5.524896,756.101234,0.846375
11/6/2020,5.364804,751.503912,0.842169
11/7/2020,5.364804,751.503912,0.842151
11/8/2020,5.364803,751.504871,0.84086
11/9/2020,5.3855,757.604905,0.845804
11/10/2020,5.415405,754.59611,0.846225
11/11/2020,5.391501,754.696673,0.84886
11/12/2020,5.458198,761.0841,0.847192
11/13/2020,5.458504,767.103912,0.844923
11/14/2020,5.458504,767.103912,0.844923
11/15/2020,5.458503,767.106766,0.844199
11/16/2020,5.416402,766.498728,0.843235
11/17/2020,5.328699,763.204788,0.842935
11/18/2020,5.363199,758.301579,0.844075
11/19/2020,5.305979,759.198816,0.842735
11/20/2020,5.380104,764.203912,0.843409
11/21/2020,5.380104,764.203912,0.843409
11/22/2020,5.3801,764.200559,0.842745
11/23/2020,5.442103,773.901353,0.844506
11/24/2020,5.374101,773.80093,0.840404
11/25/2020,5.324094,764.797352,0.839032
11/26/2020,5.336802,766.279251,0.839313
11/27/2020,5.344104,768.703912,0.835911
11/28/2020,5.344104,768.703912,0.835858
11/29/2020,5.344103,768.696125,0.835349
11/30/2020,5.332603,761.898478,0.837675
12/1/2020,5.206401,759.999479,0.828303
12/2/2020,5.217804,756.000152,0.825475
12/3/2020,5.152498,750.642625,0.823365
12/4/2020,5.156839,743.903912,0.825048
12/5/2020,5.156839,743.903912,0.824875
12/6/2020,5.156839,743.897632,0.825015
12/7/2020,5.0998,745.203818,0.825575
12/8/2020,5.121198,744.895989,0.825802
12/9/2020,5.171197,743.198647,0.827994
12/10/2020,5.025697,734.803315,0.823472
12/11/2020,5.066204,734.303912,0.825655
12/12/2020,5.066204,734.303912,0.825655
12/13/2020,5.0662,734.298389,0.824195
12/14/2020,5.1192,735.395747,0.82314
12/15/2020,5.082176,736.179026,0.822774
12/16/2020,5.084701,734.190528,0.819795
12/17/2020,5.058403,721.89797,0.815505
12/18/2020,5.102604,725.303912,0.815874
12/19/2020,5.102604,725.303912,0.815827
12/20/2020,5.102598,725.314885,0.818615
12/21/2020,5.122206,725.598342,0.817299
12/22/2020,5.159938,722.711164,0.820595
12/23/2020,5.216797,714.100451,0.820275
12/24/2020,5.216802,714.798376,0.820804
12/25/2020,5.216804,714.803912,0.820204
